price,bedrooms,sqft_living,sqft_lot,floors,condition,grade,zipcode,lat,long
571000.0,4,2750,7807,1.5,5,7,98125,47.7168,-122.287
360000.0,4,2380,5000,2.0,3,8,98038,47.3608,-122.036
349000.0,3,1790,50529,1.0,5,7,98042,47.3511,-122.073
832500.0,4,3430,35102,2.0,4,10,98075,47.5822,-121.98700000000001
380000.0,4,1760,7300,1.0,3,7,98008,47.6034,-122.125
480000.0,3,1040,5060,1.0,3,7,98116,47.5636,-122.39399999999999
410000.0,3,1410,5060,1.0,4,7,98133,47.7073,-122.34
720000.0,4,3450,39683,2.0,3,10,98010,47.342,-122.025
390000.0,3,2350,5100,2.0,3,8,98038,47.3512,-122.008
360000.0,4,1900,5889,2.0,3,7,98038,47.349,-122.031
355000.0,2,2020,6720,1.0,3,7,98118,47.5474,-122.291
356000.0,3,1680,8712,1.0,3,8,98059,47.4811,-122.149
315000.0,3,960,6634,1.0,3,6,98125,47.7264,-122.31
940000.0,3,2140,3600,2.0,3,9,98119,47.6337,-122.365
305000.0,5,2660,8400,1.5,5,7,98092,47.2909,-122.189
215000.0,2,1610,2040,2.0,4,7,98056,47.518,-122.194
335000.0,2,1030,1066,2.0,3,7,98136,47.5394,-122.387
243500.0,4,1980,7403,2.0,3,7,98023,47.2897,-122.37200000000001
1100000.0,5,3520,6353,2.0,4,10,98199,47.6506,-122.391
153000.0,3,1200,10500,1.0,3,7,98023,47.321999999999996,-122.351
700000.0,3,1580,5000,1.0,3,8,98117,47.687,-122.38600000000001
905000.0,4,3300,10250,1.0,3,7,98040,47.5873,-122.249
247500.0,3,1960,15681,1.0,3,7,98032,47.3576,-122.277
199000.0,4,1160,6400,1.0,4,7,98023,47.3036,-122.37799999999999
314000.0,3,1810,41800,1.0,5,7,98038,47.4109,-121.958
850830.0,3,2070,13241,1.5,5,9,98102,47.6415,-122.315
555000.0,3,1980,3478,1.5,4,7,98117,47.6775,-122.37200000000001
699950.0,3,2190,107593,2.0,4,8,98077,47.7731,-122.08
1090000.0,3,2920,8113,2.0,3,8,98004,47.5814,-122.196
290000.0,3,1210,33919,1.0,3,7,98058,47.4375,-122.184
460000.0,3,1670,4005,1.5,4,7,98117,47.6878,-122.38
188500.0,2,1240,2493,1.0,4,8,98198,47.3813,-122.322
680000.0,4,3140,28037,2.0,4,10,98077,47.7304,-122.08200000000001
470000.0,5,2030,12342,2.0,4,7,98052,47.6417,-122.109
597750.0,4,2310,9624,2.0,3,8,98027,47.5386,-122.053
570000.0,3,1260,3328,1.0,5,6,98103,47.6823,-122.34899999999999
272500.0,3,1540,12600,1.0,4,7,98038,47.3624,-122.031
329950.0,3,2080,5969,1.0,3,7,98108,47.5474,-122.295
740500.0,3,4380,6350,2.0,3,8,98117,47.6981,-122.368
518500.0,3,1590,1102,3.0,3,8,98103,47.6824,-122.34700000000001
205425.0,2,880,6780,1.0,4,6,98178,47.5009,-122.24799999999999
535000.0,4,1610,2982,1.5,4,7,98144,47.586999999999996,-122.294
660000.0,3,2400,6474,1.0,3,8,98177,47.7728,-122.38600000000001
391500.0,3,1450,9132,1.0,3,7,98034,47.7288,-122.226
395000.0,2,770,6000,1.0,3,6,98117,47.6999,-122.36399999999999
770000.0,3,2910,10204,2.0,3,9,98052,47.6897,-122.098
1450000.0,4,2750,17789,1.5,3,8,98004,47.6141,-122.212
260000.0,4,2160,8811,1.0,3,8,98023,47.3129,-122.39
822500.0,5,2320,4960,2.0,5,7,98103,47.6763,-122.352
212000.0,3,1060,7875,1.0,4,7,98092,47.2761,-122.152
660500.0,4,2010,9603,1.0,3,8,98027,47.5343,-122.054
784000.0,3,3950,111078,1.5,3,9,98052,47.696999999999996,-122.072
453246.0,3,2010,2287,2.0,3,8,98029,47.5517,-121.99799999999999
675000.0,4,2140,2278,3.0,3,9,98107,47.6734,-122.38
199000.0,3,1320,17390,1.0,4,7,98003,47.3257,-122.296
220000.0,4,2020,7840,1.0,3,7,98003,47.3309,-122.29899999999999
452000.0,4,2590,10002,1.0,4,8,98028,47.7689,-122.266
382500.0,2,1190,4440,1.0,3,6,98125,47.7135,-122.287
519950.0,3,1170,1249,3.0,3,8,98107,47.6722,-122.381
665000.0,2,1110,3200,1.0,3,7,98119,47.6338,-122.35799999999999
527700.0,5,2820,9375,1.0,4,8,98006,47.5707,-122.12799999999999
205000.0,3,1610,8579,1.0,4,7,98058,47.4563,-122.171
420000.0,3,1060,8097,1.0,4,7,98133,47.7144,-122.351
500000.0,4,2030,8517,1.0,4,8,98006,47.5495,-122.17399999999999
890000.0,4,2550,4000,2.0,3,8,98109,47.6354,-122.353
430000.0,2,2420,60984,2.0,3,7,98027,47.5262,-121.943
258000.0,5,2260,12500,1.0,4,8,98032,47.3887,-122.286
511000.0,3,1430,3455,1.0,3,7,98103,47.6873,-122.336
532170.0,3,1360,3090,2.0,3,8,98103,47.6838,-122.353
560000.0,3,1110,5000,1.5,3,7,98107,47.655,-122.359
350000.0,1,700,5100,1.0,3,7,98115,47.678999999999995,-122.3
215000.0,3,1180,7669,1.0,4,7,98058,47.4479,-122.176
650000.0,5,3960,25245,2.0,3,9,98056,47.525,-122.17200000000001
320000.0,4,2640,7500,1.0,3,8,98023,47.3135,-122.369
247000.0,3,1270,7198,1.5,3,7,98022,47.2086,-121.99600000000001
320000.0,4,1760,11180,1.0,4,8,98059,47.4715,-122.118
255000.0,5,2060,8632,1.0,3,7,98146,47.4877,-122.335
438000.0,3,1780,9660,1.0,3,7,98034,47.7171,-122.193
900000.0,3,3400,16603,2.0,3,10,98075,47.6012,-122.023
441000.0,3,1910,7280,1.0,3,7,98034,47.7319,-122.22399999999999
420000.0,3,2020,38332,1.0,4,7,98027,47.4582,-122.023
370000.0,3,1580,7000,1.0,3,7,98034,47.7209,-122.16799999999999
269950.0,2,1340,7250,1.0,5,5,98198,47.408,-122.32700000000001
807100.0,4,2680,4499,2.0,3,9,98006,47.565,-122.125
653000.0,3,2680,9750,1.0,4,8,98034,47.7028,-122.23100000000001
284000.0,3,1560,21000,1.0,3,7,98166,47.4776,-122.337
272000.0,3,2160,7140,1.0,4,7,98023,47.3026,-122.374
917500.0,4,3880,35003,2.0,3,10,98033,47.6477,-122.182
673000.0,4,2590,8190,2.0,4,8,98006,47.5619,-122.125
425000.0,3,1120,1100,2.0,3,8,98122,47.6106,-122.31
399950.0,5,1970,5400,1.0,3,7,98144,47.5868,-122.30799999999999
385000.0,3,1220,4800,1.0,3,6,98122,47.6101,-122.307
269950.0,3,1950,7560,1.0,4,7,98022,47.1976,-121.999
260000.0,3,1670,5797,2.0,3,7,98030,47.3505,-122.179
470000.0,4,2380,5125,1.5,4,7,98126,47.5384,-122.376
163500.0,2,1050,3419,2.0,3,7,98038,47.3848,-122.039
835000.0,4,3130,13412,2.0,3,9,98052,47.6993,-122.102
1100000.0,5,4090,12850,1.0,4,10,98033,47.6627,-122.18799999999999
269000.0,4,1490,10000,1.0,4,8,98023,47.3099,-122.37899999999999
560000.0,3,1900,8744,2.0,3,8,98074,47.62,-122.04299999999999
585188.0,3,2230,10026,1.0,3,8,98052,47.6647,-122.15299999999999
305000.0,3,1650,9480,1.0,3,7,98034,47.726000000000006,-122.191
166950.0,3,1190,8820,1.0,3,6,98058,47.4616,-122.184
799000.0,3,2140,9897,1.0,4,8,98040,47.5505,-122.219
400000.0,3,2180,7508,1.0,4,7,98133,47.7606,-122.336
230000.0,3,1060,10228,1.0,3,7,98155,47.7481,-122.3
256883.0,3,1690,5025,2.0,3,8,98023,47.2779,-122.34700000000001
423000.0,4,1970,6480,1.5,5,7,98108,47.5511,-122.31200000000001
440000.0,3,1910,66211,2.0,3,7,98024,47.5385,-121.911
297000.0,3,1940,14952,2.0,3,8,98042,47.3777,-122.165
470000.0,3,1010,5000,1.0,3,7,98107,47.675,-122.39399999999999
226500.0,3,1300,7370,1.0,4,7,98023,47.3025,-122.37
274250.0,3,910,8450,1.0,4,6,98059,47.4787,-122.15799999999999
677900.0,3,2440,4587,2.0,3,8,98052,47.7073,-122.11399999999999
425000.0,3,1010,5864,1.0,3,7,98116,47.5733,-122.381
180250.0,2,900,9600,1.0,3,6,98166,47.4604,-122.339
464000.0,6,2300,3404,2.0,3,7,98133,47.7067,-122.34299999999999
625504.0,3,1270,1566,2.0,3,8,98105,47.6647,-122.28399999999999
592500.0,4,2240,12032,1.0,3,9,98074,47.6143,-122.01700000000001
465000.0,3,2714,17936,2.0,3,9,98001,47.3185,-122.275
477000.0,4,1720,6270,2.0,3,8,98118,47.5458,-122.26799999999999
280000.0,2,850,16400,1.0,3,6,98168,47.4889,-122.29899999999999
445838.0,3,2250,5692,2.0,3,8,98146,47.5133,-122.37899999999999
1070000.0,2,3900,14864,1.0,3,8,98144,47.5884,-122.291
467000.0,2,1320,10800,1.0,4,8,98177,47.7145,-122.367
686000.0,4,2760,6440,2.0,3,10,98075,47.5836,-122.02600000000001
279950.0,3,1750,9750,1.0,3,7,98198,47.398,-122.29899999999999
527000.0,4,2330,19436,2.0,3,8,98011,47.7663,-122.215
325000.0,3,2220,16020,1.0,4,8,98030,47.3758,-122.21700000000001
328000.0,3,2020,8379,2.0,3,7,98038,47.3828,-122.023
390000.0,3,1250,7500,1.0,5,7,98146,47.5123,-122.37299999999999
235000.0,3,1430,15246,1.0,4,7,98031,47.4075,-122.214
516500.0,3,1480,4729,2.0,3,7,98053,47.6794,-122.03399999999999
655000.0,2,1450,15798,2.0,3,7,98166,47.4497,-122.375
500000.0,4,2280,15347,1.0,5,7,98059,47.5218,-122.164
315000.0,6,2940,7350,1.0,3,8,98023,47.3103,-122.339
213000.0,2,1000,10200,1.0,3,6,98024,47.5687,-121.899
475000.0,3,2480,5280,1.5,5,7,98108,47.5575,-122.303
1030000.0,5,3760,28040,2.0,3,10,98033,47.6489,-122.18299999999999
416000.0,3,2220,94300,1.0,5,7,98010,47.3459,-121.95
410000.0,4,1970,4740,1.5,3,7,98122,47.6136,-122.303
472000.0,6,4410,14034,1.0,4,9,98003,47.3376,-122.324
225000.0,3,1430,8505,1.0,4,7,98003,47.3173,-122.319
210000.0,2,830,6000,1.0,3,6,98126,47.5308,-122.376
455000.0,2,1430,5000,1.5,2,7,98115,47.6727,-122.29899999999999
225000.0,3,1300,8316,1.0,4,6,98002,47.3221,-122.21600000000001
480000.0,2,1030,3060,1.0,4,7,98103,47.6779,-122.353
363000.0,3,2740,11872,2.0,3,9,98023,47.3076,-122.395
181000.0,2,720,5120,1.0,3,6,98106,47.5218,-122.35700000000001
250000.0,4,2010,7312,1.0,4,7,98002,47.2785,-122.213
481000.0,3,1560,3000,1.0,4,6,98103,47.6846,-122.345
260000.0,3,1810,7209,1.0,4,7,98032,47.3656,-122.27799999999999
455000.0,4,3360,7685,2.0,3,9,98058,47.4369,-122.111
349500.0,3,1400,3538,1.0,3,7,98118,47.5405,-122.27
245000.0,3,1730,7442,2.0,3,7,98030,47.3507,-122.178
592500.0,2,1420,9191,1.5,5,7,98115,47.6979,-122.32
385000.0,4,2360,7620,1.0,4,7,98106,47.5278,-122.345
315000.0,3,1580,11455,1.0,4,7,98059,47.4756,-122.147
780000.0,3,1660,4400,1.5,3,8,98112,47.6362,-122.302
237000.0,3,1270,8470,1.0,4,7,98198,47.4207,-122.29
525000.0,3,2100,40510,2.0,3,10,98074,47.6154,-122.04700000000001
425000.0,2,770,5040,1.0,3,5,98144,47.5964,-122.29899999999999
369900.0,1,760,10079,1.0,5,5,98070,47.4683,-122.43799999999999
290000.0,4,1700,7280,2.0,4,7,98031,47.4045,-122.171
285000.0,3,1120,10701,1.0,3,7,98106,47.5544,-122.35799999999999
415000.0,2,1070,4500,1.0,3,7,98115,47.6802,-122.29
272500.0,3,2070,9900,1.0,3,8,98023,47.2988,-122.37100000000001
210000.0,3,1700,11390,1.0,4,7,98003,47.3271,-122.323
331000.0,3,1080,1306,1.0,3,7,98199,47.6601,-122.4
365000.0,3,2653,4510,2.0,3,8,98031,47.4145,-122.166
450000.0,3,2290,16258,1.0,5,8,98058,47.4672,-122.165
770000.0,4,3820,26300,2.0,3,9,98028,47.7618,-122.26100000000001
455000.0,4,2210,49375,1.0,3,8,98038,47.3828,-122.071
405000.0,3,2390,6000,1.0,3,6,98118,47.5362,-122.26799999999999
304900.0,4,2600,11325,1.0,4,7,98031,47.3954,-122.206
170000.0,2,860,5265,1.0,3,6,98178,47.5048,-122.272
780000.0,4,3500,7048,2.0,3,9,98053,47.6811,-122.025
330000.0,3,2420,13959,1.0,4,8,98028,47.7486,-122.23
370000.0,4,2720,8666,2.0,3,9,98030,47.3846,-122.169
467000.0,5,2500,13500,1.0,3,7,98072,47.7564,-122.14399999999999
675000.0,5,2900,10300,1.0,3,8,98006,47.5461,-122.15100000000001
500000.0,2,1640,14100,1.0,4,7,98006,47.5712,-122.14299999999999
630000.0,4,2950,9025,1.0,4,8,98034,47.7128,-122.223
360000.0,4,2160,9528,2.0,3,9,98001,47.3341,-122.255
580000.0,4,3280,11060,2.0,3,8,98056,47.5399,-122.181
550000.0,3,1970,4166,2.0,5,8,98126,47.5717,-122.375
879000.0,4,3360,22111,2.0,3,10,98075,47.5951,-122.01700000000001
404000.0,3,2030,8880,1.0,3,7,98108,47.5586,-122.311
267500.0,3,1590,11914,1.0,3,7,98188,47.4427,-122.274
335000.0,3,2440,7632,2.0,3,8,98003,47.3494,-122.301
208633.0,3,2040,3810,2.0,3,8,98038,47.3537,-122.0
315000.0,3,2200,8750,1.0,4,7,98166,47.476000000000006,-122.337
725000.0,3,1920,3300,1.0,4,8,98112,47.6239,-122.29799999999999
550000.0,4,1800,7750,1.0,4,8,98177,47.7776,-122.384
610750.0,4,2180,7297,2.0,3,8,98074,47.6459,-122.05799999999999
550700.0,2,1010,5000,1.5,4,6,98105,47.6692,-122.29700000000001
834000.0,4,2370,4000,1.5,5,8,98144,47.601000000000006,-122.294
201000.0,5,1660,78408,1.5,3,6,98065,47.528999999999996,-121.837
1400000.0,4,4290,12103,1.0,3,11,98006,47.5503,-122.102
305000.0,4,1950,7700,1.0,3,8,98058,47.4441,-122.125
487000.0,3,2590,14052,1.0,5,8,98133,47.7357,-122.333
390000.0,3,1930,64904,1.0,4,8,98042,47.346000000000004,-122.15700000000001
548000.0,2,1470,3864,1.0,4,7,98103,47.6638,-122.345
268750.0,4,800,8775,1.0,3,6,98166,47.48,-122.336
819900.0,5,3150,7119,2.0,3,9,98052,47.6759,-122.15100000000001
520000.0,3,2030,16200,2.0,3,8,98027,47.5162,-122.057
230000.0,3,1450,11204,1.0,3,7,98001,47.2639,-122.25200000000001
240000.0,3,1510,10248,1.0,3,7,98023,47.2929,-122.37100000000001
240500.0,2,1240,12092,1.0,3,6,98146,47.4957,-122.352
274975.0,3,3030,45004,2.0,3,9,98077,47.7721,-122.09299999999999
740000.0,4,2050,4400,1.5,4,9,98102,47.644,-122.319
186375.0,3,1000,7636,1.0,2,7,98166,47.472,-122.344
790000.0,3,2370,10289,1.0,4,9,98005,47.592,-122.166
279000.0,6,2240,11180,2.0,4,7,98198,47.42,-122.323
295000.0,3,1810,10530,1.0,3,8,98022,47.1913,-122.012
640000.0,2,1070,5000,1.0,3,7,98103,47.6666,-122.331
940000.0,4,2490,9525,2.0,5,9,98040,47.5639,-122.21700000000001
260000.0,4,1960,5238,2.0,3,7,98038,47.3483,-122.052
559900.0,3,2930,5569,1.0,3,9,98072,47.7648,-122.164
791500.0,4,1510,3500,1.5,5,7,98103,47.6794,-122.35700000000001
265000.0,3,1420,8250,1.0,3,7,98133,47.7535,-122.354
245000.0,3,1740,11547,1.0,3,7,98178,47.4945,-122.22
485000.0,4,2560,43995,2.0,4,7,98052,47.6945,-122.09299999999999
684000.0,4,3040,8414,2.0,3,9,98059,47.5222,-122.15700000000001
425000.0,3,2500,6840,1.0,3,8,98125,47.7222,-122.32
309600.0,4,1275,20000,1.0,4,6,98070,47.3796,-122.49
552250.0,4,2580,5823,2.0,3,8,98065,47.5374,-121.875
239900.0,4,1000,7134,1.0,3,6,98178,47.4897,-122.24
320000.0,2,1070,32633,1.0,4,6,98059,47.4716,-122.07799999999999
206600.0,3,1390,13464,1.0,4,7,98030,47.3581,-122.17299999999999
387000.0,4,2500,7690,1.0,3,7,98155,47.7713,-122.307
855000.0,4,2270,10460,2.0,3,9,98040,47.5603,-122.22200000000001
315000.0,3,1900,14400,1.0,4,7,98166,47.4147,-122.337
252000.0,4,1550,19800,1.0,4,7,98001,47.3117,-122.27
375000.0,4,2200,7475,1.0,5,7,98118,47.543,-122.28
300000.0,4,1910,4862,2.0,3,7,98038,47.3607,-122.03399999999999
900000.0,3,1330,77972,1.0,3,7,98033,47.6891,-122.15899999999999
463000.0,3,1640,29970,2.0,3,7,98053,47.6359,-121.97399999999999
380000.0,5,2760,11340,2.0,4,9,98059,47.4769,-122.141
329500.0,4,1820,7912,2.0,3,7,98038,47.3845,-122.029
795000.0,5,3040,9570,1.0,4,8,98006,47.5651,-122.164
673000.0,4,2990,10400,2.0,3,9,98166,47.4508,-122.359
785000.0,4,2440,69415,1.0,4,8,98075,47.5944,-122.042
338000.0,4,2090,7500,1.0,3,7,98056,47.4888,-122.182
280000.0,3,1430,7222,2.0,3,7,98056,47.5112,-122.19
530000.0,4,2180,10754,1.0,5,7,98133,47.7711,-122.34100000000001
380000.0,5,3450,9914,2.0,3,9,98023,47.2813,-122.345
297000.0,3,1450,7562,2.0,3,7,98056,47.5038,-122.189
730000.0,4,3230,7331,2.0,3,10,98075,47.5823,-121.97
450000.0,3,1640,13500,1.0,3,7,98125,47.7164,-122.304
275000.0,3,1590,7750,1.0,3,7,98038,47.3624,-122.045
435000.0,3,1300,3348,1.5,3,7,98144,47.592,-122.307
950000.0,3,4040,14338,2.0,3,10,98077,47.7268,-122.06
389000.0,4,2130,5337,2.0,3,7,98019,47.7237,-121.959
560000.0,4,2550,7800,1.0,3,8,98052,47.6283,-122.095
1350000.0,5,4800,14984,2.0,3,11,98006,47.5543,-122.148
799000.0,4,2510,11585,2.0,4,8,98040,47.5483,-122.226
365500.0,3,1410,9600,1.0,4,7,98072,47.7591,-122.146
252350.0,3,1650,7352,1.0,3,7,98058,47.4612,-122.169
403950.0,4,2120,13780,2.0,3,8,98146,47.4987,-122.365
385000.0,4,2040,10726,1.0,3,7,98177,47.772,-122.35799999999999
345000.0,4,1550,7620,1.5,3,7,98106,47.5287,-122.35
490000.0,3,1980,3128,2.0,4,9,98008,47.6109,-122.11399999999999
330000.0,3,1600,26977,2.0,3,8,98019,47.7736,-121.90100000000001
927000.0,4,3300,12090,2.0,3,8,98004,47.6294,-122.21799999999999
330000.0,2,1220,10000,1.0,5,7,98028,47.7405,-122.241
530000.0,5,2720,8800,1.0,4,7,98008,47.5976,-122.118
378750.0,3,2160,3000,1.5,3,7,98118,47.5644,-122.289
269900.0,4,1530,8750,1.5,4,7,98058,47.4556,-122.15700000000001
557000.0,3,1710,2096,2.0,3,8,98122,47.6055,-122.305
360000.0,4,3730,16980,1.0,4,7,98022,47.1775,-122.022
352000.0,2,940,5000,1.0,4,7,98117,47.6879,-122.385
322500.0,4,1820,6753,2.0,3,7,98038,47.3845,-122.03200000000001
650000.0,3,1510,2000,2.0,3,9,98116,47.5815,-122.402
450000.0,3,1290,1213,3.0,3,8,98103,47.6609,-122.344
278500.0,3,1570,5250,1.0,3,7,98092,47.3163,-122.18799999999999
364950.0,4,1930,6957,2.0,3,8,98055,47.4309,-122.191
840000.0,4,2840,40139,1.0,4,10,98038,47.401,-122.02600000000001
268000.0,3,1550,8134,2.0,3,7,98031,47.403999999999996,-122.191
632925.0,3,2990,32239,2.0,4,8,98077,47.7718,-122.095
577500.0,3,2000,7251,2.0,3,9,98034,47.7067,-122.2
339000.0,4,2390,7480,1.5,3,7,98178,47.504,-122.227
570000.0,3,2910,37461,1.0,4,7,98052,47.7015,-122.164
423000.0,4,2200,9351,1.0,5,7,98133,47.7448,-122.333
482000.0,2,950,3960,1.0,3,7,98103,47.6885,-122.337
625000.0,3,1600,9135,1.0,5,7,98006,47.5724,-122.179
538000.0,3,2250,11632,2.0,3,8,98056,47.5272,-122.169
380000.0,3,2280,10255,2.0,4,8,98058,47.4334,-122.161
375000.0,2,940,5120,1.0,3,7,98122,47.6073,-122.30799999999999
245000.0,3,1530,8500,1.0,5,7,98038,47.3592,-122.046
1300000.0,3,2350,15021,1.0,4,8,98004,47.6408,-122.219
397000.0,4,1440,7680,1.0,3,7,98034,47.7245,-122.2
365000.0,3,2200,4052,2.0,3,8,98058,47.4362,-122.178
328500.0,4,2290,8250,2.0,3,9,98042,47.3739,-122.156
988000.0,4,4040,19700,2.0,3,11,98052,47.7205,-122.12700000000001
1000000.0,4,2610,3277,1.5,5,8,98103,47.6636,-122.33
525000.0,4,2450,5280,2.0,3,8,98011,47.7734,-122.22399999999999
749000.0,4,1710,9627,1.0,3,9,98006,47.559,-122.164
438000.0,2,1270,1372,3.0,3,8,98115,47.6776,-122.318
578000.0,3,2120,10875,1.0,3,8,98146,47.504,-122.382
227950.0,3,1670,8230,1.0,5,7,98001,47.2613,-122.255
196000.0,3,2070,11576,2.0,3,7,98001,47.3417,-122.271
641000.0,2,1420,5332,1.0,3,8,98105,47.6694,-122.275
205000.0,3,940,7980,1.0,4,7,98032,47.3838,-122.289
400000.0,3,1920,9102,1.0,3,7,98072,47.7487,-122.08200000000001
1030000.0,3,3545,9816,1.0,3,10,98027,47.5534,-122.07799999999999
505000.0,3,1260,5460,1.0,3,7,98034,47.7355,-122.18
475000.0,5,2340,7200,1.0,3,7,98034,47.7206,-122.211
520000.0,3,2590,9263,1.0,5,8,98028,47.7691,-122.262
1450000.0,3,3970,24920,2.0,3,10,98034,47.7183,-122.258
333500.0,3,1220,9732,1.0,3,7,98011,47.7736,-122.214
232000.0,3,1400,10403,1.0,4,6,98038,47.361999999999995,-122.029
691100.0,3,2360,16117,1.0,4,8,98006,47.5698,-122.12100000000001
811000.0,3,1870,9897,1.0,4,8,98040,47.5505,-122.221
551000.0,3,2830,5802,2.0,3,9,98028,47.7605,-122.234
496500.0,3,2260,3640,2.0,3,8,98072,47.7356,-122.15700000000001
705000.0,3,1970,20978,2.0,4,9,98070,47.3844,-122.43799999999999
578000.0,4,3140,9225,1.0,5,9,98055,47.4904,-122.226
255000.0,3,1240,8659,1.0,5,7,98042,47.3663,-122.089
1050000.0,4,3450,7832,2.0,3,10,98006,47.5637,-122.12299999999999
230000.0,3,1510,3413,2.0,3,7,98031,47.3912,-122.167
359500.0,4,2390,11250,2.0,3,9,98023,47.3305,-122.37100000000001
330000.0,3,980,7000,1.0,3,6,98133,47.7617,-122.35700000000001
465000.0,3,1480,6360,1.0,3,7,98133,47.7311,-122.353
325000.0,4,1850,7324,2.0,3,8,98042,47.3701,-122.10700000000001
340500.0,3,2270,28025,1.0,4,7,98168,47.4857,-122.318
342500.0,3,1810,5192,2.0,3,8,98038,47.3724,-122.042
290900.0,2,1610,17600,2.0,3,6,98178,47.4855,-122.266
868700.0,3,3840,6161,2.0,3,10,98074,47.6336,-122.064
1200000.0,4,4110,8400,2.0,3,9,98125,47.717,-122.281
1150000.0,4,4190,10259,2.0,3,11,98074,47.6332,-122.066
859900.0,4,3390,6298,2.0,3,9,98074,47.5906,-122.06200000000001
520000.0,4,1890,3006,2.0,3,7,98029,47.5461,-121.99799999999999
438924.0,3,1050,4590,1.0,3,7,98115,47.6943,-122.29
315000.0,2,630,6550,1.0,3,5,98126,47.5486,-122.38
